"zone","acres","sqft","yearbuilt","bedrooms","bathrooms","halfbaths","multibuilding","style","saledate1","saleprice1","saledate2","saleprice2","saledate3","saleprice3","saledate4","saleprice4","saledate5","saleprice5"
"BA",0.13,1935,1927,3,1,0,FALSE,"Cape Cod","2016",86000,"2016",0,"2016",59299,"2016",0,"2010",17500
"BA",0.29,1548,1926,0,0,0,FALSE,"Service Garage","2016",136570,"2010",35000,"2006",175000,NA,0,NA,NA
"BA",0.23,0,NA,0,0,0,FALSE,"Outbuildings","2016",0,"2010",0,"2006",175000,"1965",0,NA,NA
"BA",0.11,2009,1920,4,2,0,TRUE,"Service Garage","2013",52000,"2013",0,"2012",0,"2010",35000,"2006",240000
"BA",0.13,2186,1925,4,2,1,FALSE,"2 Family","2005",0,"2003",160000,"2000",75000,NA,NA,NA,NA
"BA",0.1,1252,1900,3,1,0,FALSE,"Colonial","2007",100001,"1996",0,"1987",0,NA,NA,NA,NA
"BA",0.24,2040,1920,4,2,0,FALSE,"2 Family","2003",0,"2003",125000,"1986",0,NA,NA,NA,NA
"BA",0.09,3771,1900,0,0,0,FALSE,"Mix Ret Apt","2004",0,"2000",42500,"1999",0,"1995",0,"1995",30000
"BA",0.12,5204,1900,0,0,0,FALSE,"Mix Ret Apt","2017",0,"2014",0,"2007",0,"2004",249000,"2002",120000
"BA",0.11,1706,1960,0,0,0,FALSE,"Restaurant","2014",140000,"2009",0,"2002",50000,"1996",48500,NA,NA
"BA",0.1,2070,1910,3,2,1,FALSE,"Mix Use Res Tp","2017",157000,"2006",0,"1996",0,NA,NA,NA,NA
"BA",0.11,2121,1910,4,2,0,FALSE,"2 Family","2003",120000,"1998",5000,"1997",0,"1989",0,NA,NA
"BA",0.13,1844,1900,3,1,1,FALSE,"Mix Use Res Tp","2004",140000,"1981",0,NA,NA,NA,NA,NA,NA
"BA",0.11,2332,1910,8,3,0,FALSE,"3 Family","2014",0,"2014",0,"2014",151600,"2010",146000,"2009",0
"BA",0.11,3270,1915,6,3,0,FALSE,"3 Family","2003",0,"1979",30000,NA,NA,NA,NA,NA,NA
"BA",0.16,2191,1915,5,2,0,FALSE,"2 Family","2004",0,"2003",165000,"1980",0,NA,NA,NA,NA
"BA",0.09,2316,1915,2,2,0,FALSE,"2 Family","2017",64000,"2003",75000,"1988",0,NA,NA,NA,NA
"BA",0.09,3175,1910,6,4,0,FALSE,"3 Family","2004",150000,"2001",125000,"1996",0,"1996",0,"1996",0
"BA",0.1,1210,1910,2,1,0,FALSE,"Bungalow","2011",20000,"2011",17000,"2000",26000,"1998",0,"1995",65000
"BA",0.07,3432,1900,0,0,0,FALSE,"Mix Ret Apt","2010",235000,"1976",30000,NA,NA,NA,NA,NA,NA
"BA",0.23,3347,1900,6,5,0,TRUE,"Apt House","2002",0,"2002",150000,"2000",0,"1990",0,"1988",154000
"BA",0.06,960,1900,3,1,1,FALSE,"Colonial","2013",43500,"2012",34000,"2012",0,"2004",106500,"2002",0
"BA",0.14,1576,2002,3,2,1,FALSE,"Colonial","2016",145000,"2011",143000,"2003",125000,"2000",0,"1986",1e+05
"BA",0,1725,1989,2,2,1,FALSE,"Condominium","2003",240000,"1991",165000,NA,NA,NA,NA,NA,NA
"BA",0,1725,1989,2,2,1,FALSE,"Condominium","2013",163000,"2010",0,"1995",120000,"1995",0,"1990",0
"BA",0,1725,1989,2,2,1,FALSE,"Condominium","2002",115000,"2001",108000,"2000",94000,"1998",79900,"1996",113000
"BA",0,1725,1989,2,2,1,FALSE,"Condominium","2008",245000,"2008",0,"2001",120000,"1998",75900,"1995",0
"BA",0,1296,1989,2,1,1,FALSE,"Condominium","2006",139500,"1995",70500,"1995",0,"1991",146000,"1991",146000
"BA",0,1296,1989,2,1,1,FALSE,"Condominium","2009",89900,"2008",0,"2005",166000,"2001",95000,"1996",68000
"BA",0,648,1989,1,1,0,FALSE,"Condominium","2011",39000,"2011",0,"2005",0,"2004",0,"2003",60850
"BA",0,648,1989,1,1,0,FALSE,"Condominium","2017",0,"2017",0,"2007",113000,"2005",90000,"1997",0
"BA",0,1296,1989,2,1,1,FALSE,"Condominium","2001",91200,"2001",0,"2001",71901,"1998",58997,"1995",0
"BA",0,1296,1989,2,2,1,FALSE,"Condominium","2011",180000,"2007",180000,"1991",110000,NA,NA,NA,NA
"BA",0,1725,1989,2,2,1,FALSE,"Condominium","1999",90000,"1998",0,"1997",95000,"1995",99500,NA,NA
"BA",0,1725,1989,2,2,1,FALSE,"Condominium","2001",82000,"2000",0,"1998",0,"1996",113000,NA,NA
"BA",0,1725,1989,2,2,1,FALSE,"Condominium","2003",166000,"2002",125000,"1998",76250,"1998",0,"1998",0
"BA",0.25,3248,1900,4,3,0,FALSE,"2 Family","2002",120000,NA,0,NA,NA,NA,NA,NA,NA
